index,spark.executor.memory,spark.serializer,spark.executor.instances,spark.executor.cores,spark.default.parallelism,spark.sql.shuffle.partitions,spark.sql.autoBroadcastJoinThreshold,datasize,workload,total_required_memory,total_required_cpu
189,20,org.apache.spark.serializer.JavaSerializer,2,4,240,80,80,bigdata,scan,40,8
314,20,org.apache.spark.serializer.KryoSerializer,2,2,480,20,80,bigdata,scan,40,4
724,20,org.apache.spark.serializer.JavaSerializer,2,6,480,360,160,huge,scan,40,12
40,20,org.apache.spark.serializer.KryoSerializer,2,6,80,240,320,large,sort,40,12
117,20,org.apache.spark.serializer.KryoSerializer,2,2,480,480,320,huge,sort,40,4
124,4,org.apache.spark.serializer.KryoSerializer,10,2,20,360,640,large,sort,40,20
202,20,org.apache.spark.serializer.KryoSerializer,2,4,480,40,80,gigantic,sort,40,8
451,20,org.apache.spark.serializer.KryoSerializer,2,2,360,40,80,tiny,sort,40,4
643,20,org.apache.spark.serializer.KryoSerializer,2,2,80,360,160,gigantic,sort,40,4
822,20,org.apache.spark.serializer.JavaSerializer,2,6,240,360,320,large,sort,40,12
895,20,org.apache.spark.serializer.KryoSerializer,2,4,20,80,640,huge,sort,40,8
927,20,org.apache.spark.serializer.JavaSerializer,2,2,360,80,80,tiny,sort,40,4
101,20,org.apache.spark.serializer.KryoSerializer,2,2,360,240,160,bigdata,terasort,40,4
183,20,org.apache.spark.serializer.KryoSerializer,2,4,20,240,80,huge,terasort,40,8
288,20,org.apache.spark.serializer.KryoSerializer,2,6,80,80,640,tiny,terasort,40,12
405,20,org.apache.spark.serializer.JavaSerializer,2,4,40,40,640,gigantic,terasort,40,8
521,20,org.apache.spark.serializer.JavaSerializer,2,4,20,240,80,bigdata,terasort,40,8
715,20,org.apache.spark.serializer.JavaSerializer,2,4,20,240,80,huge,terasort,40,8
917,20,org.apache.spark.serializer.KryoSerializer,2,6,40,40,640,huge,terasort,40,12
90,20,org.apache.spark.serializer.JavaSerializer,2,4,40,360,80,gigantic,wordcount,40,8
353,20,org.apache.spark.serializer.JavaSerializer,2,2,480,240,640,large,wordcount,40,4
368,4,org.apache.spark.serializer.KryoSerializer,10,2,20,240,320,bigdata,wordcount,40,20
444,20,org.apache.spark.serializer.KryoSerializer,2,2,20,240,320,bigdata,wordcount,40,4
546,4,org.apache.spark.serializer.JavaSerializer,10,2,240,480,640,gigantic,wordcount,40,20
569,20,org.apache.spark.serializer.JavaSerializer,2,2,80,80,80,tiny,wordcount,40,4
820,20,org.apache.spark.serializer.JavaSerializer,2,6,240,20,640,large,wordcount,40,12
43,12,org.apache.spark.serializer.KryoSerializer,4,2,360,40,160,large,aggregation,48,8
118,8,org.apache.spark.serializer.KryoSerializer,6,4,20,20,160,huge,aggregation,48,24
131,8,org.apache.spark.serializer.JavaSerializer,6,2,480,360,640,bigdata,aggregation,48,12
249,12,org.apache.spark.serializer.JavaSerializer,4,4,80,480,640,bigdata,aggregation,48,16
431,8,org.apache.spark.serializer.JavaSerializer,6,4,480,360,80,bigdata,aggregation,48,24
533,12,org.apache.spark.serializer.JavaSerializer,4,4,40,20,320,small,aggregation,48,16
729,8,org.apache.spark.serializer.KryoSerializer,6,4,80,360,320,small,aggregation,48,24
761,12,org.apache.spark.serializer.KryoSerializer,4,6,360,240,80,tiny,aggregation,48,24
3,12,org.apache.spark.serializer.JavaSerializer,4,2,240,360,80,huge,join,48,8
295,8,org.apache.spark.serializer.JavaSerializer,6,2,20,360,80,small,join,48,12
751,8,org.apache.spark.serializer.JavaSerializer,6,2,80,360,160,bigdata,join,48,12
863,12,org.apache.spark.serializer.JavaSerializer,4,2,20,360,80,large,join,48,8
912,8,org.apache.spark.serializer.JavaSerializer,6,2,20,360,640,huge,join,48,12
983,8,org.apache.spark.serializer.JavaSerializer,6,4,20,20,640,large,join,48,24
116,12,org.apache.spark.serializer.JavaSerializer,4,6,360,20,160,bigdata,scan,48,24
138,12,org.apache.spark.serializer.KryoSerializer,4,6,20,360,320,huge,scan,48,24
323,12,org.apache.spark.serializer.JavaSerializer,4,2,360,40,320,tiny,scan,48,8
364,12,org.apache.spark.serializer.KryoSerializer,4,6,240,40,640,bigdata,scan,48,24
670,12,org.apache.spark.serializer.JavaSerializer,4,6,40,480,640,gigantic,scan,48,24
687,12,org.apache.spark.serializer.KryoSerializer,4,2,360,20,160,large,scan,48,8
763,8,org.apache.spark.serializer.KryoSerializer,6,2,360,480,640,bigdata,scan,48,12
926,8,org.apache.spark.serializer.JavaSerializer,6,2,40,480,320,tiny,scan,48,12
121,12,org.apache.spark.serializer.JavaSerializer,4,6,20,240,80,bigdata,sort,48,24
275,12,org.apache.spark.serializer.KryoSerializer,4,6,360,80,160,gigantic,sort,48,24
541,12,org.apache.spark.serializer.KryoSerializer,4,6,360,80,640,small,sort,48,24
565,8,org.apache.spark.serializer.JavaSerializer,6,4,20,480,320,gigantic,sort,48,24
675,8,org.apache.spark.serializer.KryoSerializer,6,2,20,40,160,small,sort,48,12
738,12,org.apache.spark.serializer.JavaSerializer,4,4,20,480,640,large,sort,48,16
57,12,org.apache.spark.serializer.KryoSerializer,4,4,20,360,320,bigdata,terasort,48,16
80,8,org.apache.spark.serializer.KryoSerializer,6,4,40,20,80,large,terasort,48,24
149,8,org.apache.spark.serializer.JavaSerializer,6,4,480,80,320,huge,terasort,48,24
150,12,org.apache.spark.serializer.JavaSerializer,4,4,240,240,640,bigdata,terasort,48,16
184,12,org.apache.spark.serializer.KryoSerializer,4,6,20,360,320,small,terasort,48,24
300,12,org.apache.spark.serializer.KryoSerializer,4,2,20,360,80,bigdata,terasort,48,8
338,8,org.apache.spark.serializer.KryoSerializer,6,4,40,480,80,large,terasort,48,24
515,12,org.apache.spark.serializer.JavaSerializer,4,4,20,240,640,huge,terasort,48,16
609,12,org.apache.spark.serializer.JavaSerializer,4,4,20,40,160,huge,terasort,48,16
620,12,org.apache.spark.serializer.JavaSerializer,4,2,80,20,80,gigantic,terasort,48,8
702,12,org.apache.spark.serializer.KryoSerializer,4,6,80,20,320,large,terasort,48,24
741,12,org.apache.spark.serializer.JavaSerializer,4,2,40,20,320,gigantic,terasort,48,8
745,12,org.apache.spark.serializer.JavaSerializer,4,4,360,480,640,tiny,terasort,48,16
794,12,org.apache.spark.serializer.JavaSerializer,4,6,80,20,640,small,terasort,48,24
844,8,org.apache.spark.serializer.KryoSerializer,6,4,20,80,160,large,terasort,48,24
872,8,org.apache.spark.serializer.JavaSerializer,6,2,20,20,640,huge,terasort,48,12
233,12,org.apache.spark.serializer.KryoSerializer,4,6,40,80,80,large,wordcount,48,24
279,8,org.apache.spark.serializer.KryoSerializer,6,2,40,480,80,small,wordcount,48,12
394,12,org.apache.spark.serializer.KryoSerializer,4,2,480,480,160,tiny,wordcount,48,8
425,12,org.apache.spark.serializer.JavaSerializer,4,4,240,40,160,gigantic,wordcount,48,16
538,8,org.apache.spark.serializer.JavaSerializer,6,2,480,40,80,large,wordcount,48,12
737,12,org.apache.spark.serializer.KryoSerializer,4,2,360,360,160,huge,wordcount,48,8
742,12,org.apache.spark.serializer.JavaSerializer,4,6,80,20,320,huge,wordcount,48,24
945,12,org.apache.spark.serializer.JavaSerializer,4,4,40,40,160,huge,wordcount,48,16
826,8,org.apache.spark.serializer.KryoSerializer,8,2,20,80,640,huge,aggregation,64,16
938,8,org.apache.spark.serializer.KryoSerializer,8,2,240,20,320,bigdata,aggregation,64,16
31,8,org.apache.spark.serializer.JavaSerializer,8,2,20,360,320,bigdata,join,64,16
107,8,org.apache.spark.serializer.KryoSerializer,8,2,40,240,640,large,join,64,16
944,8,org.apache.spark.serializer.JavaSerializer,8,2,20,360,160,small,join,64,16
122,8,org.apache.spark.serializer.KryoSerializer,8,2,480,80,80,small,terasort,64,16
871,8,org.apache.spark.serializer.JavaSerializer,8,2,40,40,80,bigdata,terasort,64,16
111,8,org.apache.spark.serializer.JavaSerializer,8,2,40,40,640,bigdata,wordcount,64,16
287,8,org.apache.spark.serializer.KryoSerializer,8,2,40,20,160,gigantic,wordcount,64,16
956,8,org.apache.spark.serializer.JavaSerializer,8,2,360,40,640,small,wordcount,64,16
120,12,org.apache.spark.serializer.JavaSerializer,6,2,480,360,160,small,aggregation,72,12
204,12,org.apache.spark.serializer.KryoSerializer,6,2,360,240,80,huge,aggregation,72,12
650,12,org.apache.spark.serializer.KryoSerializer,6,2,360,80,320,large,aggregation,72,12
756,12,org.apache.spark.serializer.KryoSerializer,6,2,480,80,640,huge,aggregation,72,12
786,12,org.apache.spark.serializer.JavaSerializer,6,4,80,80,640,bigdata,aggregation,72,24
13,12,org.apache.spark.serializer.JavaSerializer,6,4,40,240,320,bigdata,join,72,24
769,12,org.apache.spark.serializer.KryoSerializer,6,2,40,80,320,huge,join,72,12
133,12,org.apache.spark.serializer.KryoSerializer,6,4,360,240,320,tiny,scan,72,24
265,12,org.apache.spark.serializer.JavaSerializer,6,4,360,20,640,gigantic,scan,72,24
328,12,org.apache.spark.serializer.KryoSerializer,6,2,360,480,80,huge,scan,72,12
735,12,org.apache.spark.serializer.JavaSerializer,6,4,480,240,320,bigdata,scan,72,24
203,12,org.apache.spark.serializer.JavaSerializer,6,2,360,80,320,small,sort,72,12
210,12,org.apache.spark.serializer.KryoSerializer,6,4,480,80,640,large,sort,72,24
657,12,org.apache.spark.serializer.JavaSerializer,6,4,480,480,160,huge,sort,72,24
946,12,org.apache.spark.serializer.KryoSerializer,6,2,80,480,80,large,sort,72,12
148,12,org.apache.spark.serializer.JavaSerializer,6,4,40,80,320,large,terasort,72,24
182,12,org.apache.spark.serializer.JavaSerializer,6,2,20,20,640,bigdata,terasort,72,12
859,12,org.apache.spark.serializer.JavaSerializer,6,4,480,240,640,bigdata,terasort,72,24
15,12,org.apache.spark.serializer.KryoSerializer,6,4,360,80,320,large,wordcount,72,24
114,12,org.apache.spark.serializer.JavaSerializer,6,2,360,40,320,gigantic,wordcount,72,12
640,12,org.apache.spark.serializer.KryoSerializer,6,2,80,20,320,tiny,wordcount,72,12
698,12,org.apache.spark.serializer.KryoSerializer,6,2,480,80,80,huge,wordcount,72,12
0,20,org.apache.spark.serializer.KryoSerializer,4,2,20,480,640,bigdata,aggregation,80,8
12,20,org.apache.spark.serializer.JavaSerializer,4,4,20,80,80,bigdata,aggregation,80,16
58,20,org.apache.spark.serializer.KryoSerializer,4,2,240,40,160,small,aggregation,80,8
327,20,org.apache.spark.serializer.JavaSerializer,4,6,480,480,80,gigantic,aggregation,80,24
341,8,org.apache.spark.serializer.JavaSerializer,10,2,480,40,80,tiny,aggregation,80,20
399,8,org.apache.spark.serializer.JavaSerializer,10,2,80,240,80,bigdata,aggregation,80,20
598,8,org.apache.spark.serializer.KryoSerializer,10,2,40,240,640,large,aggregation,80,20
631,20,org.apache.spark.serializer.KryoSerializer,4,2,360,20,160,gigantic,aggregation,80,8
634,8,org.apache.spark.serializer.KryoSerializer,10,2,80,480,160,large,aggregation,80,20
691,20,org.apache.spark.serializer.KryoSerializer,4,6,80,480,160,bigdata,aggregation,80,24
699,20,org.apache.spark.serializer.KryoSerializer,4,2,480,360,160,tiny,aggregation,80,8
709,8,org.apache.spark.serializer.KryoSerializer,10,2,40,20,80,tiny,aggregation,80,20
714,8,org.apache.spark.serializer.KryoSerializer,10,2,480,20,640,gigantic,aggregation,80,20
67,20,org.apache.spark.serializer.JavaSerializer,4,6,80,40,160,huge,join,80,24
263,8,org.apache.spark.serializer.JavaSerializer,10,2,360,360,640,huge,join,80,20
339,20,org.apache.spark.serializer.KryoSerializer,4,6,480,40,640,small,join,80,24
459,20,org.apache.spark.serializer.KryoSerializer,4,6,20,20,160,small,join,80,24
522,20,org.apache.spark.serializer.JavaSerializer,4,4,360,20,160,bigdata,join,80,16
532,20,org.apache.spark.serializer.KryoSerializer,4,6,40,240,80,small,join,80,24
646,20,org.apache.spark.serializer.KryoSerializer,4,2,80,240,640,huge,join,80,8
749,8,org.apache.spark.serializer.KryoSerializer,10,2,360,40,160,small,join,80,20
766,20,org.apache.spark.serializer.KryoSerializer,4,4,20,480,80,gigantic,join,80,16
806,20,org.apache.spark.serializer.KryoSerializer,4,2,480,80,160,huge,join,80,8
854,20,org.apache.spark.serializer.KryoSerializer,4,2,360,360,640,bigdata,join,80,8
881,20,org.apache.spark.serializer.JavaSerializer,4,2,80,80,80,bigdata,join,80,8
8,20,org.apache.spark.serializer.KryoSerializer,4,2,240,80,640,tiny,scan,80,8
42,20,org.apache.spark.serializer.KryoSerializer,4,2,20,240,640,gigantic,scan,80,8
62,20,org.apache.spark.serializer.JavaSerializer,4,2,20,480,640,tiny,scan,80,8
126,20,org.apache.spark.serializer.JavaSerializer,4,6,480,240,80,tiny,scan,80,24
679,20,org.apache.spark.serializer.KryoSerializer,4,6,240,480,640,bigdata,scan,80,24
719,20,org.apache.spark.serializer.KryoSerializer,4,6,360,40,320,huge,scan,80,24
376,20,org.apache.spark.serializer.KryoSerializer,4,4,480,240,160,small,sort,80,16
392,20,org.apache.spark.serializer.JavaSerializer,4,2,80,20,80,gigantic,sort,80,8
