,spark.executor.memory,spark.serializer,spark.executor.instances,spark.executor.cores,spark.default.parallelism,spark.sql.shuffle.partitions,spark.sql.autoBroadcastJoinThreshold,datasize,workload,total_required_memory,total_required_cpu
684,12,org.apache.spark.serializer.KryoSerializer,2,6,360,80,320,tiny,wordcount,24,12
253,4,org.apache.spark.serializer.KryoSerializer,8,2,240,80,160,small,aggregation,32,16
288,8,org.apache.spark.serializer.JavaSerializer,4,2,40,80,640,small,aggregation,32,8
837,8,org.apache.spark.serializer.JavaSerializer,4,6,80,20,80,small,aggregation,32,24
840,4,org.apache.spark.serializer.KryoSerializer,8,2,240,40,160,small,aggregation,32,16
941,4,org.apache.spark.serializer.JavaSerializer,8,2,240,360,640,huge,aggregation,32,16
476,8,org.apache.spark.serializer.KryoSerializer,4,2,360,80,80,large,join,32,8
776,8,org.apache.spark.serializer.JavaSerializer,4,2,80,240,160,tiny,join,32,8
808,8,org.apache.spark.serializer.KryoSerializer,4,4,80,20,80,tiny,join,32,16
155,8,org.apache.spark.serializer.JavaSerializer,4,6,40,360,320,small,scan,32,24
165,8,org.apache.spark.serializer.JavaSerializer,4,2,80,80,160,small,scan,32,8
294,8,org.apache.spark.serializer.KryoSerializer,4,2,360,480,320,tiny,scan,32,8
367,4,org.apache.spark.serializer.KryoSerializer,8,2,480,80,640,tiny,scan,32,16
646,8,org.apache.spark.serializer.JavaSerializer,4,4,360,80,80,tiny,scan,32,16
940,8,org.apache.spark.serializer.JavaSerializer,4,4,20,40,320,huge,scan,32,16
966,8,org.apache.spark.serializer.KryoSerializer,4,4,240,240,160,huge,scan,32,16
192,8,org.apache.spark.serializer.JavaSerializer,4,2,480,480,640,small,sort,32,8
443,8,org.apache.spark.serializer.JavaSerializer,4,4,480,360,320,large,sort,32,16
536,8,org.apache.spark.serializer.KryoSerializer,4,2,80,480,640,tiny,sort,32,8
20,8,org.apache.spark.serializer.JavaSerializer,4,4,480,40,640,huge,terasort,32,16
521,8,org.apache.spark.serializer.JavaSerializer,4,4,20,40,160,large,terasort,32,16
621,8,org.apache.spark.serializer.KryoSerializer,4,6,80,360,160,huge,terasort,32,24
41,8,org.apache.spark.serializer.JavaSerializer,4,2,240,40,160,large,wordcount,32,8
232,4,org.apache.spark.serializer.JavaSerializer,8,2,480,80,320,large,wordcount,32,16
632,4,org.apache.spark.serializer.KryoSerializer,8,2,360,480,160,small,wordcount,32,16
915,8,org.apache.spark.serializer.JavaSerializer,4,6,20,80,80,small,wordcount,32,24
339,20,org.apache.spark.serializer.KryoSerializer,2,4,360,20,640,small,aggregation,40,8
477,4,org.apache.spark.serializer.KryoSerializer,10,2,40,360,320,large,aggregation,40,20
566,4,org.apache.spark.serializer.JavaSerializer,10,2,40,360,320,huge,aggregation,40,20
622,20,org.apache.spark.serializer.JavaSerializer,2,4,360,80,160,huge,aggregation,40,8
626,20,org.apache.spark.serializer.JavaSerializer,2,6,80,360,640,small,aggregation,40,12
722,20,org.apache.spark.serializer.KryoSerializer,2,4,40,480,80,tiny,aggregation,40,8
677,20,org.apache.spark.serializer.KryoSerializer,2,4,360,480,160,tiny,join,40,8
794,20,org.apache.spark.serializer.KryoSerializer,2,4,240,480,320,huge,join,40,8
333,20,org.apache.spark.serializer.KryoSerializer,2,4,20,240,80,small,scan,40,8
349,20,org.apache.spark.serializer.KryoSerializer,2,4,240,240,160,tiny,scan,40,8
502,4,org.apache.spark.serializer.JavaSerializer,10,2,480,20,160,small,scan,40,20
811,4,org.apache.spark.serializer.JavaSerializer,10,2,40,20,80,huge,scan,40,20
894,20,org.apache.spark.serializer.KryoSerializer,2,4,480,360,80,small,scan,40,8
935,20,org.apache.spark.serializer.JavaSerializer,2,4,40,480,160,small,scan,40,8
135,20,org.apache.spark.serializer.JavaSerializer,2,4,20,480,80,tiny,sort,40,8
311,4,org.apache.spark.serializer.JavaSerializer,10,2,360,360,320,huge,sort,40,20
554,4,org.apache.spark.serializer.JavaSerializer,10,2,480,40,160,tiny,sort,40,20
588,20,org.apache.spark.serializer.KryoSerializer,2,6,80,80,80,tiny,sort,40,12
674,20,org.apache.spark.serializer.KryoSerializer,2,2,480,240,320,small,sort,40,4
847,20,org.apache.spark.serializer.JavaSerializer,2,4,40,20,80,huge,sort,40,8
8,4,org.apache.spark.serializer.KryoSerializer,10,2,20,240,160,huge,terasort,40,20
30,20,org.apache.spark.serializer.JavaSerializer,2,4,240,40,160,large,terasort,40,8
305,4,org.apache.spark.serializer.JavaSerializer,10,2,20,240,80,large,terasort,40,20
351,20,org.apache.spark.serializer.JavaSerializer,2,6,80,20,160,huge,terasort,40,12
512,20,org.apache.spark.serializer.JavaSerializer,2,6,480,20,80,huge,terasort,40,12
993,20,org.apache.spark.serializer.KryoSerializer,2,6,360,360,320,huge,terasort,40,12
234,4,org.apache.spark.serializer.JavaSerializer,10,2,40,40,320,large,wordcount,40,20
379,20,org.apache.spark.serializer.JavaSerializer,2,6,480,80,80,small,wordcount,40,12
769,4,org.apache.spark.serializer.JavaSerializer,10,2,20,80,160,large,wordcount,40,20
21,12,org.apache.spark.serializer.JavaSerializer,4,2,80,480,640,large,aggregation,48,8
24,12,org.apache.spark.serializer.KryoSerializer,4,4,20,40,160,small,aggregation,48,16
319,8,org.apache.spark.serializer.KryoSerializer,6,2,240,240,320,small,aggregation,48,12
500,12,org.apache.spark.serializer.KryoSerializer,4,4,240,80,320,small,aggregation,48,16
541,12,org.apache.spark.serializer.JavaSerializer,4,6,80,20,320,huge,aggregation,48,24
640,8,org.apache.spark.serializer.JavaSerializer,6,4,20,80,640,huge,aggregation,48,24
895,12,org.apache.spark.serializer.JavaSerializer,4,4,240,80,80,tiny,aggregation,48,16
75,12,org.apache.spark.serializer.JavaSerializer,4,4,80,40,320,large,join,48,16
382,8,org.apache.spark.serializer.KryoSerializer,6,4,480,480,320,huge,join,48,24
403,12,org.apache.spark.serializer.KryoSerializer,4,6,40,240,320,small,join,48,24
432,8,org.apache.spark.serializer.JavaSerializer,6,4,240,20,80,tiny,join,48,24
460,12,org.apache.spark.serializer.KryoSerializer,4,2,80,240,160,small,join,48,8
255,12,org.apache.spark.serializer.JavaSerializer,4,6,40,20,80,small,scan,48,24
453,8,org.apache.spark.serializer.JavaSerializer,6,4,40,480,640,huge,scan,48,24
686,8,org.apache.spark.serializer.JavaSerializer,6,4,360,80,80,huge,scan,48,24
132,12,org.apache.spark.serializer.JavaSerializer,4,2,360,20,320,tiny,sort,48,8
376,12,org.apache.spark.serializer.KryoSerializer,4,2,20,40,160,huge,sort,48,8
738,12,org.apache.spark.serializer.JavaSerializer,4,4,20,480,320,large,sort,48,16
761,12,org.apache.spark.serializer.JavaSerializer,4,6,480,480,320,large,sort,48,24
843,12,org.apache.spark.serializer.KryoSerializer,4,4,40,20,320,large,sort,48,16
868,12,org.apache.spark.serializer.KryoSerializer,4,4,240,20,640,small,sort,48,16
950,12,org.apache.spark.serializer.JavaSerializer,4,6,20,240,80,huge,sort,48,24
991,8,org.apache.spark.serializer.JavaSerializer,6,4,20,20,640,huge,sort,48,24
81,12,org.apache.spark.serializer.JavaSerializer,4,6,80,240,640,tiny,terasort,48,24
237,8,org.apache.spark.serializer.JavaSerializer,6,4,480,240,80,huge,terasort,48,24
242,12,org.apache.spark.serializer.KryoSerializer,4,6,360,480,640,large,terasort,48,24
464,8,org.apache.spark.serializer.KryoSerializer,6,4,20,480,160,small,terasort,48,24
912,12,org.apache.spark.serializer.JavaSerializer,4,6,240,240,80,huge,terasort,48,24
338,12,org.apache.spark.serializer.KryoSerializer,4,2,240,360,80,tiny,wordcount,48,8
578,12,org.apache.spark.serializer.KryoSerializer,4,6,20,20,320,huge,wordcount,48,24
650,12,org.apache.spark.serializer.KryoSerializer,4,6,480,240,640,huge,wordcount,48,24
662,8,org.apache.spark.serializer.KryoSerializer,6,4,360,240,160,tiny,wordcount,48,24
712,12,org.apache.spark.serializer.KryoSerializer,4,4,20,80,160,large,wordcount,48,16
832,12,org.apache.spark.serializer.KryoSerializer,4,4,80,40,320,small,wordcount,48,16
961,8,org.apache.spark.serializer.KryoSerializer,6,4,480,40,80,huge,wordcount,48,24
90,8,org.apache.spark.serializer.KryoSerializer,8,2,480,40,160,huge,aggregation,64,16
490,8,org.apache.spark.serializer.KryoSerializer,8,2,480,360,640,tiny,aggregation,64,16
492,8,org.apache.spark.serializer.JavaSerializer,8,2,80,480,80,large,aggregation,64,16
571,8,org.apache.spark.serializer.KryoSerializer,8,2,480,360,320,large,aggregation,64,16
301,8,org.apache.spark.serializer.JavaSerializer,8,2,80,80,160,huge,join,64,16
567,8,org.apache.spark.serializer.KryoSerializer,8,2,80,40,80,huge,scan,64,16
92,8,org.apache.spark.serializer.JavaSerializer,8,2,480,240,320,small,sort,64,16
322,8,org.apache.spark.serializer.JavaSerializer,8,2,20,360,640,large,sort,64,16
496,8,org.apache.spark.serializer.KryoSerializer,8,2,240,480,640,small,sort,64,16
128,8,org.apache.spark.serializer.KryoSerializer,8,2,20,40,160,small,terasort,64,16
57,8,org.apache.spark.serializer.KryoSerializer,8,2,360,240,320,small,wordcount,64,16
649,8,org.apache.spark.serializer.JavaSerializer,8,2,20,20,80,tiny,wordcount,64,16
508,12,org.apache.spark.serializer.JavaSerializer,6,4,80,40,640,small,aggregation,72,24
593,12,org.apache.spark.serializer.KryoSerializer,6,4,360,20,320,tiny,aggregation,72,24
612,12,org.apache.spark.serializer.KryoSerializer,6,2,40,40,160,huge,aggregation,72,12
29,12,org.apache.spark.serializer.JavaSerializer,6,2,360,20,160,large,join,72,12
418,12,org.apache.spark.serializer.KryoSerializer,6,2,360,20,640,large,join,72,12
444,12,org.apache.spark.serializer.KryoSerializer,6,2,480,20,320,huge,join,72,12
853,12,org.apache.spark.serializer.KryoSerializer,6,4,40,80,160,small,join,72,24
867,12,org.apache.spark.serializer.KryoSerializer,6,2,240,80,80,small,join,72,12
906,12,org.apache.spark.serializer.KryoSerializer,6,2,480,360,640,tiny,join,72,12
11,12,org.apache.spark.serializer.JavaSerializer,6,2,240,80,320,large,scan,72,12
178,12,org.apache.spark.serializer.KryoSerializer,6,2,240,480,320,huge,scan,72,12
435,12,org.apache.spark.serializer.KryoSerializer,6,2,480,40,640,small,scan,72,12
590,12,org.apache.spark.serializer.JavaSerializer,6,2,240,360,80,large,scan,72,12
765,12,org.apache.spark.serializer.JavaSerializer,6,4,40,240,640,huge,scan,72,24
4,12,org.apache.spark.serializer.KryoSerializer,6,2,80,480,160,large,sort,72,12
645,12,org.apache.spark.serializer.KryoSerializer,6,4,40,480,80,small,sort,72,24
758,12,org.apache.spark.serializer.KryoSerializer,6,2,80,360,160,huge,sort,72,12
936,12,org.apache.spark.serializer.KryoSerializer,6,4,360,80,160,small,sort,72,24
284,12,org.apache.spark.serializer.KryoSerializer,6,2,80,480,80,large,terasort,72,12
641,12,org.apache.spark.serializer.KryoSerializer,6,4,80,480,160,large,terasort,72,24
648,12,org.apache.spark.serializer.KryoSerializer,6,2,360,40,320,huge,terasort,72,12
270,12,org.apache.spark.serializer.JavaSerializer,6,2,360,40,640,huge,wordcount,72,12
570,12,org.apache.spark.serializer.KryoSerializer,6,4,480,360,320,tiny,wordcount,72,24
905,12,org.apache.spark.serializer.JavaSerializer,6,4,40,360,80,tiny,wordcount,72,24
768,20,org.apache.spark.serializer.KryoSerializer,4,4,240,80,640,large,aggregation,80,16
816,8,org.apache.spark.serializer.JavaSerializer,10,2,80,360,80,small,aggregation,80,20
969,20,org.apache.spark.serializer.KryoSerializer,4,2,20,80,320,tiny,aggregation,80,8
995,8,org.apache.spark.serializer.JavaSerializer,10,2,240,80,320,tiny,aggregation,80,20
224,20,org.apache.spark.serializer.JavaSerializer,4,6,20,40,160,small,join,80,24
280,20,org.apache.spark.serializer.JavaSerializer,4,2,240,480,320,tiny,join,80,8
289,20,org.apache.spark.serializer.KryoSerializer,4,6,20,20,80,huge,join,80,24
342,20,org.apache.spark.serializer.KryoSerializer,4,2,240,40,80,huge,join,80,8
400,20,org.apache.spark.serializer.KryoSerializer,4,4,480,80,80,tiny,join,80,16
493,20,org.apache.spark.serializer.JavaSerializer,4,6,360,20,640,large,join,80,24
530,8,org.apache.spark.serializer.JavaSerializer,10,2,20,80,160,tiny,join,80,20
827,20,org.apache.spark.serializer.KryoSerializer,4,2,480,80,320,small,join,80,8
831,20,org.apache.spark.serializer.JavaSerializer,4,4,80,360,320,tiny,join,80,16
863,20,org.apache.spark.serializer.KryoSerializer,4,6,240,480,160,large,join,80,24
870,8,org.apache.spark.serializer.JavaSerializer,10,2,360,480,160,large,join,80,20
247,20,org.apache.spark.serializer.JavaSerializer,4,2,240,40,80,large,scan,80,8
326,8,org.apache.spark.serializer.JavaSerializer,10,2,80,20,320,small,scan,80,20
767,20,org.apache.spark.serializer.JavaSerializer,4,2,20,360,320,large,scan,80,8
957,20,org.apache.spark.serializer.JavaSerializer,4,6,480,240,80,small,scan,80,24
510,20,org.apache.spark.serializer.KryoSerializer,4,6,360,20,320,small,sort,80,24
579,20,org.apache.spark.serializer.KryoSerializer,4,2,360,40,640,small,sort,80,8
848,20,org.apache.spark.serializer.JavaSerializer,4,2,240,360,640,small,sort,80,8
616,8,org.apache.spark.serializer.JavaSerializer,10,2,240,480,80,huge,terasort,80,20
753,20,org.apache.spark.serializer.KryoSerializer,4,6,80,240,80,tiny,terasort,80,24
942,20,org.apache.spark.serializer.JavaSerializer,4,2,360,360,320,large,terasort,80,8
204,20,org.apache.spark.serializer.JavaSerializer,4,6,20,480,320,large,wordcount,80,24
256,20,org.apache.spark.serializer.JavaSerializer,4,4,20,40,80,tiny,wordcount,80,16
429,20,org.apache.spark.serializer.JavaSerializer,4,6,240,240,640,small,wordcount,80,24
527,8,org.apache.spark.serializer.KryoSerializer,10,2,360,360,160,large,wordcount,80,20
638,20,org.apache.spark.serializer.JavaSerializer,4,2,240,80,640,huge,wordcount,80,8
706,20,org.apache.spark.serializer.KryoSerializer,4,2,20,360,640,tiny,wordcount,80,8
763,20,org.apache.spark.serializer.KryoSerializer,4,2,40,480,160,tiny,wordcount,80,8
778,20,org.apache.spark.serializer.JavaSerializer,4,2,80,480,640,huge,wordcount,80,8
285,12,org.apache.spark.serializer.KryoSerializer,8,2,240,80,640,tiny,scan,96,16
846,12,org.apache.spark.serializer.JavaSerializer,8,2,240,40,320,small,scan,96,16
559,12,org.apache.spark.serializer.KryoSerializer,8,2,80,360,80,small,wordcount,96,16
