,spark.executor.memory,spark.serializer,spark.executor.instances,spark.executor.cores,spark.default.parallelism,spark.sql.shuffle.partitions,spark.sql.autoBroadcastJoinThreshold,datasize,workload,total_required_memory,total_required_cpu
156,12,org.apache.spark.serializer.KryoSerializer,2,2,240,20,80,gigantic,wordcount,24,4
408,4,org.apache.spark.serializer.KryoSerializer,6,2,240,80,320,gigantic,wordcount,24,12
551,12,org.apache.spark.serializer.KryoSerializer,2,4,20,240,640,gigantic,wordcount,24,8
610,4,org.apache.spark.serializer.KryoSerializer,8,2,480,480,320,gigantic,aggregation,32,16
987,4,org.apache.spark.serializer.JavaSerializer,8,2,40,80,160,bigdata,aggregation,32,16
395,8,org.apache.spark.serializer.JavaSerializer,4,4,20,40,160,bigdata,join,32,16
43,4,org.apache.spark.serializer.JavaSerializer,8,2,40,480,160,bigdata,scan,32,16
263,8,org.apache.spark.serializer.JavaSerializer,4,2,360,20,80,gigantic,scan,32,8
304,8,org.apache.spark.serializer.JavaSerializer,4,6,80,480,640,bigdata,sort,32,24
780,8,org.apache.spark.serializer.JavaSerializer,4,2,480,40,160,gigantic,sort,32,8
968,8,org.apache.spark.serializer.JavaSerializer,4,2,240,20,160,gigantic,sort,32,8
320,8,org.apache.spark.serializer.JavaSerializer,4,6,40,40,160,gigantic,terasort,32,24
880,4,org.apache.spark.serializer.KryoSerializer,8,2,240,360,320,bigdata,terasort,32,16
556,8,org.apache.spark.serializer.KryoSerializer,4,2,360,240,320,bigdata,wordcount,32,8
786,8,org.apache.spark.serializer.KryoSerializer,4,6,240,240,640,bigdata,wordcount,32,24
954,4,org.apache.spark.serializer.JavaSerializer,8,2,480,240,640,bigdata,wordcount,32,16
577,20,org.apache.spark.serializer.KryoSerializer,2,6,40,80,80,bigdata,aggregation,40,12
849,4,org.apache.spark.serializer.JavaSerializer,10,2,80,360,320,bigdata,aggregation,40,20
344,20,org.apache.spark.serializer.KryoSerializer,2,4,40,20,80,gigantic,join,40,8
542,20,org.apache.spark.serializer.KryoSerializer,2,4,20,80,80,gigantic,join,40,8
678,20,org.apache.spark.serializer.KryoSerializer,2,6,80,40,320,bigdata,join,40,12
73,4,org.apache.spark.serializer.KryoSerializer,10,2,480,240,320,bigdata,scan,40,20
484,20,org.apache.spark.serializer.JavaSerializer,2,4,360,80,80,gigantic,scan,40,8
191,20,org.apache.spark.serializer.KryoSerializer,2,6,360,240,80,bigdata,sort,40,12
219,4,org.apache.spark.serializer.JavaSerializer,10,2,480,40,640,bigdata,sort,40,20
359,20,org.apache.spark.serializer.JavaSerializer,2,2,240,40,640,gigantic,sort,40,4
245,4,org.apache.spark.serializer.JavaSerializer,10,2,20,40,640,gigantic,terasort,40,20
374,4,org.apache.spark.serializer.JavaSerializer,10,2,80,40,320,gigantic,terasort,40,20
544,20,org.apache.spark.serializer.KryoSerializer,2,6,240,40,640,bigdata,terasort,40,12
672,20,org.apache.spark.serializer.KryoSerializer,2,6,20,480,320,bigdata,terasort,40,12
896,20,org.apache.spark.serializer.KryoSerializer,2,6,240,480,640,gigantic,terasort,40,12
970,20,org.apache.spark.serializer.JavaSerializer,2,4,240,80,160,gigantic,terasort,40,8
549,4,org.apache.spark.serializer.KryoSerializer,10,2,240,40,80,gigantic,wordcount,40,20
890,20,org.apache.spark.serializer.KryoSerializer,2,6,40,480,640,gigantic,wordcount,40,12
99,8,org.apache.spark.serializer.JavaSerializer,6,2,480,240,160,bigdata,aggregation,48,12
214,12,org.apache.spark.serializer.JavaSerializer,4,2,80,80,160,gigantic,aggregation,48,8
497,8,org.apache.spark.serializer.JavaSerializer,6,4,80,40,320,gigantic,aggregation,48,24
851,8,org.apache.spark.serializer.JavaSerializer,6,2,360,360,640,gigantic,aggregation,48,12
494,12,org.apache.spark.serializer.JavaSerializer,4,4,240,40,80,gigantic,join,48,16
630,12,org.apache.spark.serializer.JavaSerializer,4,6,240,480,320,gigantic,join,48,24
676,12,org.apache.spark.serializer.KryoSerializer,4,2,40,360,160,gigantic,join,48,8
989,8,org.apache.spark.serializer.KryoSerializer,6,4,20,360,320,gigantic,join,48,24
206,12,org.apache.spark.serializer.JavaSerializer,4,6,80,240,320,bigdata,scan,48,24
239,8,org.apache.spark.serializer.KryoSerializer,6,2,80,480,640,bigdata,scan,48,12
623,12,org.apache.spark.serializer.KryoSerializer,4,6,80,80,160,gigantic,scan,48,24
361,12,org.apache.spark.serializer.JavaSerializer,4,4,360,360,160,gigantic,sort,48,16
569,8,org.apache.spark.serializer.KryoSerializer,6,4,240,20,320,gigantic,sort,48,24
685,8,org.apache.spark.serializer.JavaSerializer,6,4,480,480,320,bigdata,sort,48,24
115,12,org.apache.spark.serializer.KryoSerializer,4,2,80,40,160,bigdata,terasort,48,8
217,12,org.apache.spark.serializer.JavaSerializer,4,2,40,360,160,gigantic,terasort,48,8
309,12,org.apache.spark.serializer.JavaSerializer,4,2,20,80,80,gigantic,terasort,48,8
922,8,org.apache.spark.serializer.JavaSerializer,6,2,20,20,160,gigantic,terasort,48,12
5,12,org.apache.spark.serializer.KryoSerializer,4,2,20,360,160,gigantic,wordcount,48,8
504,12,org.apache.spark.serializer.KryoSerializer,4,2,360,20,160,bigdata,wordcount,48,8
318,8,org.apache.spark.serializer.KryoSerializer,8,2,40,20,80,gigantic,scan,64,16
934,8,org.apache.spark.serializer.JavaSerializer,8,2,360,40,160,gigantic,terasort,64,16
388,12,org.apache.spark.serializer.JavaSerializer,6,4,20,480,320,bigdata,aggregation,72,24
804,12,org.apache.spark.serializer.JavaSerializer,6,2,20,80,320,bigdata,aggregation,72,12
918,12,org.apache.spark.serializer.JavaSerializer,6,4,80,480,640,bigdata,aggregation,72,24
959,12,org.apache.spark.serializer.JavaSerializer,6,2,80,480,80,gigantic,aggregation,72,12
176,12,org.apache.spark.serializer.JavaSerializer,6,2,40,80,80,bigdata,join,72,12
904,12,org.apache.spark.serializer.KryoSerializer,6,4,40,480,320,gigantic,join,72,24
310,12,org.apache.spark.serializer.KryoSerializer,6,2,240,480,320,gigantic,scan,72,12
330,12,org.apache.spark.serializer.JavaSerializer,6,2,80,480,160,bigdata,terasort,72,12
704,12,org.apache.spark.serializer.KryoSerializer,6,2,80,480,80,gigantic,terasort,72,12
625,12,org.apache.spark.serializer.KryoSerializer,6,4,240,480,80,gigantic,wordcount,72,24
375,20,org.apache.spark.serializer.KryoSerializer,4,6,80,20,160,gigantic,aggregation,80,24
663,8,org.apache.spark.serializer.JavaSerializer,10,2,480,360,160,bigdata,aggregation,80,20
56,20,org.apache.spark.serializer.KryoSerializer,4,2,80,240,320,bigdata,join,80,8
360,8,org.apache.spark.serializer.KryoSerializer,10,2,80,20,160,gigantic,join,80,20
264,20,org.apache.spark.serializer.KryoSerializer,4,4,240,80,80,gigantic,scan,80,16
639,8,org.apache.spark.serializer.JavaSerializer,10,2,240,360,80,gigantic,scan,80,20
873,20,org.apache.spark.serializer.KryoSerializer,4,6,40,360,640,bigdata,scan,80,24
27,20,org.apache.spark.serializer.KryoSerializer,4,4,240,240,320,bigdata,sort,80,16
148,20,org.apache.spark.serializer.JavaSerializer,4,4,80,480,80,gigantic,sort,80,16
390,8,org.apache.spark.serializer.KryoSerializer,10,2,480,240,320,bigdata,sort,80,20
661,20,org.apache.spark.serializer.KryoSerializer,4,6,80,40,640,bigdata,sort,80,24
952,20,org.apache.spark.serializer.KryoSerializer,4,2,480,80,640,gigantic,sort,80,8
466,20,org.apache.spark.serializer.JavaSerializer,4,2,240,40,640,bigdata,terasort,80,8
528,20,org.apache.spark.serializer.KryoSerializer,4,2,240,240,80,gigantic,terasort,80,8
746,20,org.apache.spark.serializer.JavaSerializer,4,6,20,480,640,gigantic,terasort,80,24
958,8,org.apache.spark.serializer.KryoSerializer,10,2,80,40,640,bigdata,terasort,80,20
23,12,org.apache.spark.serializer.KryoSerializer,8,2,20,360,80,bigdata,join,96,16
981,12,org.apache.spark.serializer.JavaSerializer,8,2,240,480,80,gigantic,scan,96,16
595,12,org.apache.spark.serializer.JavaSerializer,8,2,40,480,80,bigdata,sort,96,16
734,12,org.apache.spark.serializer.JavaSerializer,8,2,80,40,80,gigantic,sort,96,16
