,spark.executor.memory,spark.serializer,spark.executor.instances,spark.executor.cores,spark.default.parallelism,spark.sql.shuffle.partitions,spark.sql.autoBroadcastJoinThreshold,datasize,workload,total_required_memory,total_required_cpu
930,20,org.apache.spark.serializer.KryoSerializer,6,6,20,480,640,huge,wordcount,120,36
974,12,org.apache.spark.serializer.KryoSerializer,10,4,360,20,160,tiny,wordcount,120,40
976,12,org.apache.spark.serializer.KryoSerializer,10,4,80,40,80,large,wordcount,120,40
22,8,org.apache.spark.serializer.JavaSerializer,20,2,360,20,160,bigdata,aggregation,160,40
207,8,org.apache.spark.serializer.JavaSerializer,20,2,360,480,160,huge,aggregation,160,40
439,20,org.apache.spark.serializer.KryoSerializer,8,6,20,360,80,gigantic,aggregation,160,48
471,8,org.apache.spark.serializer.KryoSerializer,20,4,40,20,80,huge,aggregation,160,80
605,8,org.apache.spark.serializer.JavaSerializer,20,4,80,80,320,large,aggregation,160,80
628,8,org.apache.spark.serializer.KryoSerializer,20,2,480,480,160,tiny,aggregation,160,40
691,8,org.apache.spark.serializer.JavaSerializer,20,4,360,20,80,gigantic,aggregation,160,80
705,8,org.apache.spark.serializer.JavaSerializer,20,6,360,240,320,gigantic,aggregation,160,120
741,20,org.apache.spark.serializer.KryoSerializer,8,6,40,240,640,huge,aggregation,160,48
744,8,org.apache.spark.serializer.KryoSerializer,20,6,360,20,640,tiny,aggregation,160,120
752,20,org.apache.spark.serializer.KryoSerializer,8,4,360,80,80,small,aggregation,160,32
972,20,org.apache.spark.serializer.JavaSerializer,8,4,20,480,160,tiny,aggregation,160,32
26,8,org.apache.spark.serializer.KryoSerializer,20,2,20,80,640,large,join,160,40
70,8,org.apache.spark.serializer.JavaSerializer,20,6,360,40,320,bigdata,join,160,120
252,8,org.apache.spark.serializer.JavaSerializer,20,4,20,240,640,huge,join,160,80
479,8,org.apache.spark.serializer.KryoSerializer,20,2,480,240,320,bigdata,join,160,40
707,8,org.apache.spark.serializer.KryoSerializer,20,4,360,360,160,tiny,join,160,80
782,8,org.apache.spark.serializer.JavaSerializer,20,2,40,480,80,tiny,join,160,40
37,20,org.apache.spark.serializer.JavaSerializer,8,6,480,240,160,large,scan,160,48
52,8,org.apache.spark.serializer.KryoSerializer,20,6,360,20,80,large,scan,160,120
213,8,org.apache.spark.serializer.KryoSerializer,20,6,40,40,320,gigantic,scan,160,120
240,20,org.apache.spark.serializer.JavaSerializer,8,6,360,80,80,gigantic,scan,160,48
409,20,org.apache.spark.serializer.KryoSerializer,8,4,480,20,160,bigdata,scan,160,32
505,8,org.apache.spark.serializer.JavaSerializer,20,4,80,240,160,gigantic,scan,160,80
608,20,org.apache.spark.serializer.JavaSerializer,8,6,360,360,80,bigdata,scan,160,48
709,20,org.apache.spark.serializer.KryoSerializer,8,6,480,20,320,gigantic,scan,160,48
721,20,org.apache.spark.serializer.KryoSerializer,8,6,360,480,160,bigdata,scan,160,48
810,8,org.apache.spark.serializer.JavaSerializer,20,4,20,40,640,huge,scan,160,80
951,8,org.apache.spark.serializer.KryoSerializer,20,4,80,80,160,huge,scan,160,80
960,20,org.apache.spark.serializer.JavaSerializer,8,6,40,240,80,bigdata,scan,160,48
67,20,org.apache.spark.serializer.JavaSerializer,8,4,80,40,160,large,sort,160,32
146,20,org.apache.spark.serializer.JavaSerializer,8,4,40,240,80,tiny,sort,160,32
246,8,org.apache.spark.serializer.JavaSerializer,20,4,360,40,160,large,sort,160,80
370,20,org.apache.spark.serializer.JavaSerializer,8,6,20,240,320,huge,sort,160,48
407,20,org.apache.spark.serializer.JavaSerializer,8,4,20,480,80,large,sort,160,32
417,8,org.apache.spark.serializer.KryoSerializer,20,2,20,480,640,gigantic,sort,160,40
441,8,org.apache.spark.serializer.JavaSerializer,20,2,80,480,640,tiny,sort,160,40
489,20,org.apache.spark.serializer.JavaSerializer,8,6,480,20,80,huge,sort,160,48
619,20,org.apache.spark.serializer.JavaSerializer,8,6,480,80,80,bigdata,sort,160,48
627,20,org.apache.spark.serializer.KryoSerializer,8,4,240,480,160,huge,sort,160,32
737,8,org.apache.spark.serializer.KryoSerializer,20,6,80,240,320,large,sort,160,120
909,8,org.apache.spark.serializer.JavaSerializer,20,4,20,240,320,huge,sort,160,80
44,20,org.apache.spark.serializer.JavaSerializer,8,6,480,480,160,huge,terasort,160,48
87,8,org.apache.spark.serializer.JavaSerializer,20,4,40,40,320,small,terasort,160,80
265,8,org.apache.spark.serializer.JavaSerializer,20,4,20,80,160,small,terasort,160,80
298,8,org.apache.spark.serializer.KryoSerializer,20,4,40,240,640,tiny,terasort,160,80
394,8,org.apache.spark.serializer.JavaSerializer,20,2,480,240,160,gigantic,terasort,160,40
401,20,org.apache.spark.serializer.KryoSerializer,8,4,240,40,320,large,terasort,160,32
440,8,org.apache.spark.serializer.KryoSerializer,20,4,20,80,160,tiny,terasort,160,80
714,20,org.apache.spark.serializer.JavaSerializer,8,4,240,480,80,small,terasort,160,32
924,20,org.apache.spark.serializer.JavaSerializer,8,4,20,360,640,huge,terasort,160,32
946,8,org.apache.spark.serializer.JavaSerializer,20,6,40,80,640,tiny,terasort,160,120
955,8,org.apache.spark.serializer.JavaSerializer,20,2,80,20,640,gigantic,terasort,160,40
154,20,org.apache.spark.serializer.JavaSerializer,8,6,40,480,80,large,wordcount,160,48
341,20,org.apache.spark.serializer.KryoSerializer,8,6,240,480,640,bigdata,wordcount,160,48
545,8,org.apache.spark.serializer.KryoSerializer,20,4,480,80,160,bigdata,wordcount,160,80
574,8,org.apache.spark.serializer.KryoSerializer,20,6,20,240,320,large,wordcount,160,120
644,8,org.apache.spark.serializer.KryoSerializer,20,2,240,480,640,huge,wordcount,160,40
719,20,org.apache.spark.serializer.JavaSerializer,8,6,20,20,320,tiny,wordcount,160,48
809,20,org.apache.spark.serializer.KryoSerializer,8,4,240,40,80,bigdata,wordcount,160,32
992,20,org.apache.spark.serializer.JavaSerializer,8,4,80,360,320,gigantic,wordcount,160,32
187,20,org.apache.spark.serializer.JavaSerializer,10,4,40,360,320,large,aggregation,200,40
227,20,org.apache.spark.serializer.JavaSerializer,10,6,360,480,160,gigantic,aggregation,200,60
260,20,org.apache.spark.serializer.JavaSerializer,10,6,80,240,80,tiny,aggregation,200,60
856,20,org.apache.spark.serializer.JavaSerializer,10,4,360,480,640,tiny,aggregation,200,40
103,20,org.apache.spark.serializer.KryoSerializer,10,4,80,20,80,tiny,join,200,40
455,20,org.apache.spark.serializer.JavaSerializer,10,4,80,240,640,large,join,200,40
511,20,org.apache.spark.serializer.KryoSerializer,10,4,80,20,640,tiny,join,200,40
592,20,org.apache.spark.serializer.KryoSerializer,10,6,40,40,640,huge,join,200,60
735,20,org.apache.spark.serializer.JavaSerializer,10,6,40,40,640,small,join,200,60
980,20,org.apache.spark.serializer.KryoSerializer,10,4,40,40,80,huge,join,200,40
167,20,org.apache.spark.serializer.KryoSerializer,10,4,20,80,160,bigdata,scan,200,40
257,20,org.apache.spark.serializer.JavaSerializer,10,4,360,360,320,gigantic,sort,200,40
278,20,org.apache.spark.serializer.KryoSerializer,10,4,480,80,160,small,sort,200,40
563,20,org.apache.spark.serializer.KryoSerializer,10,6,480,20,320,small,sort,200,60
757,20,org.apache.spark.serializer.JavaSerializer,10,4,240,20,320,small,sort,200,40
701,20,org.apache.spark.serializer.JavaSerializer,10,6,240,20,320,huge,terasort,200,60
775,20,org.apache.spark.serializer.KryoSerializer,10,6,40,40,160,large,terasort,200,60
398,20,org.apache.spark.serializer.JavaSerializer,10,4,20,360,160,bigdata,wordcount,200,40
836,20,org.apache.spark.serializer.JavaSerializer,10,4,480,240,640,small,wordcount,200,40
229,12,org.apache.spark.serializer.JavaSerializer,20,6,40,480,80,tiny,aggregation,240,120
315,12,org.apache.spark.serializer.KryoSerializer,20,2,80,20,320,huge,aggregation,240,40
589,12,org.apache.spark.serializer.JavaSerializer,20,2,240,20,160,bigdata,aggregation,240,40
852,12,org.apache.spark.serializer.JavaSerializer,20,4,360,20,160,bigdata,aggregation,240,80
89,12,org.apache.spark.serializer.JavaSerializer,20,6,40,480,320,huge,join,240,120
100,12,org.apache.spark.serializer.JavaSerializer,20,6,360,480,320,small,scan,240,120
136,12,org.apache.spark.serializer.KryoSerializer,20,2,240,40,640,large,scan,240,40
147,12,org.apache.spark.serializer.JavaSerializer,20,6,20,80,80,gigantic,scan,240,120
199,12,org.apache.spark.serializer.KryoSerializer,20,4,80,40,320,gigantic,scan,240,80
697,12,org.apache.spark.serializer.JavaSerializer,20,6,80,360,160,huge,scan,240,120
209,12,org.apache.spark.serializer.JavaSerializer,20,6,20,360,640,large,sort,240,120
222,12,org.apache.spark.serializer.JavaSerializer,20,2,80,20,160,tiny,sort,240,40
384,12,org.apache.spark.serializer.JavaSerializer,20,2,360,20,160,large,sort,240,40
669,12,org.apache.spark.serializer.JavaSerializer,20,6,40,80,160,gigantic,sort,240,120
679,12,org.apache.spark.serializer.JavaSerializer,20,4,240,240,80,bigdata,sort,240,80
1,12,org.apache.spark.serializer.KryoSerializer,20,6,20,240,640,small,terasort,240,120
13,12,org.apache.spark.serializer.KryoSerializer,20,4,40,20,80,bigdata,terasort,240,80
101,12,org.apache.spark.serializer.JavaSerializer,20,4,240,480,320,small,terasort,240,80
212,12,org.apache.spark.serializer.KryoSerializer,20,4,360,20,640,small,terasort,240,80
329,12,org.apache.spark.serializer.KryoSerializer,20,2,480,40,80,small,terasort,240,40
347,12,org.apache.spark.serializer.KryoSerializer,20,2,240,20,640,large,terasort,240,40
591,12,org.apache.spark.serializer.KryoSerializer,20,4,480,240,160,small,terasort,240,80
607,12,org.apache.spark.serializer.KryoSerializer,20,2,480,40,80,huge,terasort,240,40
609,12,org.apache.spark.serializer.KryoSerializer,20,4,40,40,80,large,terasort,240,80
666,12,org.apache.spark.serializer.JavaSerializer,20,2,80,360,320,gigantic,terasort,240,40
823,12,org.apache.spark.serializer.JavaSerializer,20,2,240,480,160,tiny,terasort,240,40
64,12,org.apache.spark.serializer.KryoSerializer,20,4,360,480,80,large,wordcount,240,80
106,12,org.apache.spark.serializer.JavaSerializer,20,6,240,40,80,tiny,wordcount,240,120
170,12,org.apache.spark.serializer.KryoSerializer,20,4,40,480,80,gigantic,wordcount,240,80
436,12,org.apache.spark.serializer.JavaSerializer,20,4,360,40,320,large,wordcount,240,80
932,12,org.apache.spark.serializer.KryoSerializer,20,4,40,240,80,tiny,wordcount,240,80
39,20,org.apache.spark.serializer.JavaSerializer,20,6,20,80,640,large,aggregation,400,120
254,20,org.apache.spark.serializer.KryoSerializer,20,2,80,80,320,bigdata,aggregation,400,40
412,20,org.apache.spark.serializer.KryoSerializer,20,2,360,360,80,small,aggregation,400,40
468,20,org.apache.spark.serializer.JavaSerializer,20,6,360,20,320,small,aggregation,400,120
673,20,org.apache.spark.serializer.KryoSerializer,20,2,360,40,80,tiny,aggregation,400,40
756,20,org.apache.spark.serializer.KryoSerializer,20,4,40,20,320,tiny,aggregation,400,80
803,20,org.apache.spark.serializer.JavaSerializer,20,2,20,360,320,gigantic,aggregation,400,40
6,20,org.apache.spark.serializer.KryoSerializer,20,2,20,360,160,bigdata,join,400,40
31,20,org.apache.spark.serializer.JavaSerializer,20,2,360,360,320,small,join,400,40
345,20,org.apache.spark.serializer.JavaSerializer,20,4,360,360,640,bigdata,join,400,80
710,20,org.apache.spark.serializer.JavaSerializer,20,4,20,40,160,huge,join,400,80
799,20,org.apache.spark.serializer.KryoSerializer,20,6,480,360,80,large,join,400,120
855,20,org.apache.spark.serializer.JavaSerializer,20,4,480,80,160,huge,join,400,80
113,20,org.apache.spark.serializer.JavaSerializer,20,2,360,240,160,large,scan,400,40
261,20,org.apache.spark.serializer.KryoSerializer,20,4,40,480,320,tiny,scan,400,80
292,20,org.apache.spark.serializer.JavaSerializer,20,4,240,240,320,tiny,scan,400,80
584,20,org.apache.spark.serializer.KryoSerializer,20,2,80,40,320,bigdata,scan,400,40
94,20,org.apache.spark.serializer.JavaSerializer,20,6,80,20,160,huge,sort,400,120
327,20,org.apache.spark.serializer.JavaSerializer,20,2,20,480,320,tiny,sort,400,40
687,20,org.apache.spark.serializer.JavaSerializer,20,2,40,240,160,large,sort,400,40
907,20,org.apache.spark.serializer.KryoSerializer,20,2,360,80,80,tiny,sort,400,40
68,20,org.apache.spark.serializer.KryoSerializer,20,2,40,480,160,gigantic,terasort,400,40
736,20,org.apache.spark.serializer.JavaSerializer,20,2,360,40,640,tiny,terasort,400,40
933,20,org.apache.spark.serializer.KryoSerializer,20,2,20,360,160,tiny,terasort,400,40
998,20,org.apache.spark.serializer.JavaSerializer,20,4,240,480,160,small,terasort,400,80
18,20,org.apache.spark.serializer.KryoSerializer,20,4,360,40,640,small,wordcount,400,80
720,20,org.apache.spark.serializer.KryoSerializer,20,2,240,360,160,bigdata,wordcount,400,40
806,20,org.apache.spark.serializer.KryoSerializer,20,4,480,360,640,bigdata,wordcount,400,80
